id,born,bornIn,died,imdbId,name,poster,tmdbId,url,actor,director
20999,1964-11-11,"Freeport, Illinois, USA",,1222.0,Calista Flockhart,https://image.tmdb.org/t/p/w440_and_h660_face/l5mSlK7fgG4UXKKL9N7dXpl105a.jpg,49148,https://themoviedb.org/person/49148,1,0
21001,1941-06-01,"Kentville, Nova Scotia, Canada",,232195.0,Richard Donat,,189636,https://themoviedb.org/person/189636,1,0
21003,,,,325528.0,Jeffrey Golden,,549355,https://themoviedb.org/person/549355,1,0
21005,,,,598528.0,Marcus Monroe,,1243178,https://themoviedb.org/person/1243178,1,0
21006,1978-08-26,Honolulu - Hawaii - USA,,776040.0,Amanda Schull,https://image.tmdb.org/t/p/w440_and_h660_face/nakdxAUxYobF7TgPa6uzMXtiycs.jpg,65871,https://themoviedb.org/person/65871,1,0
21007,,,,,Christine Dunham,,1943901,https://themoviedb.org/person/1943901,1,0
21009,1953-01-01,Lowell - Massachusetts - USA,,687694.0,Maryann Plunkett,https://image.tmdb.org/t/p/w440_and_h660_face/317RSmgO74AhbqcfnYbAkVKWCXh.jpg,171472,https://themoviedb.org/person/171472,1,0
21011,1957-08-14,"  Madrid, Spain",,180580.0,José Coronado,https://image.tmdb.org/t/p/w440_and_h660_face/3Bh99mRONes1xP7DyLLiLqgO7p7.jpg,110129,https://themoviedb.org/person/110129,1,0
21012,1985-01-31,"Madrid, Spain",,273451.0,Dafne Fernández,https://image.tmdb.org/t/p/w440_and_h660_face/od6f5S8uGIe6laSSMjmAOr8G2iZ.jpg,110116,https://themoviedb.org/person/110116,1,0
21013,1959-11-21,"Barcelona, Catalonia, Spain, EU",,482378.0,Eulàlia Ramon,https://image.tmdb.org/t/p/w440_and_h660_face/erpJMOmTYaVQwfVwZM4yu6RPv9g.jpg,102550,https://themoviedb.org/person/102550,1,0
21014,,,,508303.0,Thilen Lhondup,,992796,https://themoviedb.org/person/992796,1,0
21015,,,,477312.0,Gurgon Kyap,,992797,https://themoviedb.org/person/992797,1,0
21016,1972-01-01,,,874661.0,Lhakpa Tsamchoe,,14594,https://themoviedb.org/person/14594,1,0
